,alpha3,Dim1,Indicator,Location,Time period,Dim1 type,Value,country-code,sex_dichotomic,Value2,CI95_low,CI95_high
108,EGY,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Egypt,2012,Sex,48.6 [46.8-50.4],818,0,48.6,46.8,50.4
109,EGY,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Egypt,2012,Sex,26.2 [24.3-28.1],818,1,26.2,24.3,28.1
110,ERI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Eritrea,2012,Sex,3.7 [2.8-4.8],232,0,3.7,2.8,4.8
111,ERI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Eritrea,2012,Sex,1.5 [0.9-2.1],232,1,1.5,0.9,2.1
112,ESP,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Spain,2012,Sex,16.5 [15.1-17.8],724,0,16.5,15.1,17.8
113,ESP,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Spain,2012,Sex,21.1 [19.5-22.9],724,1,21.1,19.5,22.9
114,EST,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Estonia,2012,Sex,20.7 [19.1-22.3],233,0,20.7,19.1,22.3
115,EST,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Estonia,2012,Sex,20.5 [18.6-22.4],233,1,20.5,18.6,22.4
116,ETH,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ethiopia,2012,Sex,2.3 [1.9-2.8],231,0,2.3,1.9,2.8
117,ETH,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ethiopia,2012,Sex,0.6 [0.4-0.8],231,1,0.6,0.4,0.8
118,FIN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Finland,2012,Sex,19.4 [18.0-20.7],246,0,19.4,18.0,20.7
119,FIN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Finland,2012,Sex,19.1 [17.7-20.6],246,1,19.1,17.7,20.6
120,FJI,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Fiji,2012,Sex,36.2 [32.8-39.7],242,0,36.2,32.8,39.7
121,FJI,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Fiji,2012,Sex,19.7 [17.0-22.6],242,1,19.7,17.0,22.6
122,FRA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",France,2012,Sex,11.8 [10.8-12.8],250,0,11.8,10.8,12.8
123,FRA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",France,2012,Sex,11.7 [10.7-12.9],250,1,11.7,10.7,12.9
124,FSM,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Micronesia (Federated States of),2012,Sex,51.3 [47.2-55.5],583,0,51.3,47.2,55.5
125,FSM,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Micronesia (Federated States of),2012,Sex,33.1 [29.5-36.7],583,1,33.1,29.5,36.7
126,GAB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Gabon,2012,Sex,23.3 [20.6-26.2],266,0,23.3,20.6,26.2
127,GAB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Gabon,2012,Sex,8.2 [5.3-11.7],266,1,8.2,5.3,11.7
128,GBR,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",United Kingdom of Great Britain and Northern Ireland,2012,Sex,25.5 [24.7-26.4],826,0,25.5,24.7,26.4
129,GBR,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",United Kingdom of Great Britain and Northern Ireland,2012,Sex,24.0 [23.1-24.9],826,1,24.0,23.1,24.9
130,GEO,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Georgia,2012,Sex,29.7 [27.0-32.4],268,0,29.7,27.0,32.4
131,GEO,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Georgia,2012,Sex,23.6 [20.8-26.8],268,1,23.6,20.8,26.8
132,GHA,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ghana,2012,Sex,15.9 [14.6-17.2],288,0,15.9,14.6,17.2
133,GHA,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Ghana,2012,Sex,4.2 [3.5-4.9],288,1,4.2,3.5,4.9
134,GIN,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guinea,2012,Sex,7.6 [6.4-9.0],324,0,7.6,6.4,9.0
135,GIN,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guinea,2012,Sex,3.9 [2.3-6.0],324,1,3.9,2.3,6.0
136,GMB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Gambia,2012,Sex,12.9 [11.3-14.6],270,0,12.9,11.3,14.6
137,GMB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Gambia,2012,Sex,5.6 [4.0-7.4],270,1,5.6,4.0,7.4
138,GNB,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guinea-Bissau,2012,Sex,10.1 [7.9-12.8],624,0,10.1,7.9,12.8
139,GNB,Male,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Guinea-Bissau,2012,Sex,5.2 [2.1-10.4],624,1,5.2,2.1,10.4
140,GNQ,Female,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Equatorial Guinea,2012,Sex,23.4 [19.1-27.9],226,0,23.4,19.1,27.9
